ID,sepallength,sepalwidth,petallength,petalwidth,class
1,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
2,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
3,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
4,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
5,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
6,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
7,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
8,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
9,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
10,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
11,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
12,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
13,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
14,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
15,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
16,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
17,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
18,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
19,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
20,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
21,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
22,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
23,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
24,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
25,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
26,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
27,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
28,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
29,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
30,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
31,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
32,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
33,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
34,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
35,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
36,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
37,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
38,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
39,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
40,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
41,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
42,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
43,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
44,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
45,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
